Site,State,Date,Year,SolarDay,Period,EC,Number,Taxa,Mass
Hammo,CT,7/29/2015,2015,220,3,excolsure,3,Amphipod,0.02
Hammo,CT,7/29/2015,2015,220,3,control,3,Amphipod,0.01
Forsythe,NJ,7/29/2015,2015,220,3,excolsure,3,Amphipod,0.003
Forsythe,NJ,7/29/2015,2015,220,3,control,3,Amphipod,0
Hammo,CT,7/29/2015,2015,220,3,excolsure,1,Amphipod,0.036
Hammo,CT,7/29/2015,2015,220,3,control,1,Amphipod,0.005
Barn Island,CT,8/24/2015,2015,246,4,excolsure,1,Amphipod,0.096
Barn Island,CT,8/24/2015,2015,246,4,control,1,Amphipod,0.027
Barn Island,CT,8/24/2015,2015,246,4,control,3,Amphipod,0.001
Barn Island,CT,8/24/2015,2015,246,4,excolsure,3,Amphipod,0.114
Sachuest,RI,8/24/2015,2015,246,4,excolsure,3,Amphipod,0.017
Sachuest,RI,8/24/2015,2015,246,4,control,3,Amphipod,0.015
Hammo,CT,8/24/2015,2015,246,4,excolsure,2,Amphipod,0.015
Hammo,CT,8/24/2015,2015,246,4,control,2,Amphipod,0.005
Hammo,CT,8/24/2015,2015,246,4,excolsure,3,Amphipod,0.015
Hammo,CT,8/24/2015,2015,246,4,control,3,Amphipod,0.001
Sachuest,RI,8/24/2015,2015,246,4,excolsure,1,Amphipod,0.019
Sachuest,RI,8/24/2015,2015,246,4,control,1,Amphipod,0.027
Hammo,CT,8/24/2015,2015,246,4,excolsure,1,Amphipod,0.006
Hammo,CT,8/24/2015,2015,246,4,control,1,Amphipod,0.001
Barn Island,CT,8/24/2015,2015,246,4,excolsure,2,Amphipod,0.052
Barn Island,CT,8/24/2015,2015,246,4,control,2,Amphipod,0.019
Forsythe,NJ,8/26/2015,2015,248,4,excolsure,2,Amphipod,0.001
Forsythe,NJ,8/26/2015,2015,248,4,control,2,Amphipod,0.001
Forsythe,NJ,8/26/2015,2015,248,4,excolsure,3,Amphipod,0.001
Forsythe,NJ,8/26/2015,2015,248,4,control,3,Amphipod,0.012
Forsythe,NJ,8/26/2015,2015,248,4,excolsure,1,Amphipod,0.001
Forsythe,NJ,8/26/2015,2015,248,4,control,1,Amphipod,0.001
Chapman,NH,8/27/2015,2015,249,4,excolsure,2,Amphipod,0.008
Chapman,NH,8/27/2015,2015,249,4,control,2,Amphipod,0.006
Chapman,NH,8/27/2015,2015,249,4,excolsure,3,Amphipod,0.029
Chapman,NH,8/27/2015,2015,249,4,control,3,Amphipod,0.007
Chapman,NH,8/27/2015,2015,249,4,excolsure,1,Amphipod,0.042
Chapman,NH,8/27/2015,2015,249,4,control,1,Amphipod,0.008
Sachuest,RI,8/29/2015,2015,251,4,excolsure,2,Amphipod,0.007
Sachuest,RI,8/29/2015,2015,251,4,control,2,Amphipod,0.034
Rachel Carson,ME,8/31/2015,2015,253,4,excolsure,2,Amphipod,0.016
Rachel Carson,ME,8/31/2015,2015,253,4,control,2,Amphipod,0.012
Rachel Carson,ME,8/31/2015,2015,253,4,excolsure,1,Amphipod,0.011
